edition,grade,term,unit id,unit name,sn,english,chinese,phonetic
1,1,2,3,Toys,7,can,能,/kæn; kən/
1,1,2,3,Toys,8,sorry,对不起，抱歉,/'sɒri/
1,1,2,3,Toys,9,sure,当然,/ʃʊə(r)/, /ʃʊr/
1,1,2,4,Food,1,chicken,鸡肉,/'tʃɪkɪn/
1,1,2,4,Food,2,egg,蛋,/eg/
1,1,2,4,Food,3,fish,鱼,/fɪʃ/
1,1,2,4,Food,4,noodles,面条,/'nu:dlz/
1,1,2,4,Food,5,rice,米饭,/raɪs/
1,1,2,4,Food,6,vegetable,蔬菜,/'vedʒtəbl/
1,1,2,4,Food,7,and,和；与,/ænd; ənd/
1,1,2,4,Food,8,hungry,饿的,/'hʌŋgri/
1,1,2,4,Food,9,want,要；想要,/wɒnt/, /wɑ:nt/
1,1,2,5,Drink,1,juice,果汁,/dʒu:s/
1,1,2,5,Drink,2,milk,牛奶,/mɪlk/
1,1,2,5,Drink,3,tea,茶；茶水,/ti:/
1,1,2,5,Drink,4,water,水,/'wɔ:tə/, /'wɑ:tər/
1,1,2,5,Drink,5,thanks,感谢,/θæŋks/
1,1,2,5,Drink,6,thirsty,渴的；口渴的,/θɜ:(r)sti/
1,1,2,6,Clothes,1,T-shirt,T恤,/'ti: ʃɜ:(r)t/
1,1,2,6,Clothes,2,dress,连衣裙,/dres/
1,1,2,6,Clothes,3,shirt,（尤指男士）衬衫,/ʃɜ:(r)t/
1,1,2,6,Clothes,4,shorts,短裤,/ʃɔ:(r)ts/
1,1,2,6,Clothes,5,skirt,女裙,/skɜ:(r)t/
1,1,2,6,Clothes,6,socks,短袜（复数）,/sɒks/
1,1,2,6,Clothes,7,your,你（们）的,/jɔ:(r)/
1,2,1,1,My Family,1,brother,兄；弟,/'brʌðə(r)/
1,2,1,1,My Family,2,father,父亲；爸爸,/'fɑ:ðə(r)/
1,2,1,1,My Family,3,grandfather,（外）祖父,/'grænfɑ:ðə(r)/
1,2,1,1,My Family,4,grandmother,（外）祖母,/'grænmʌðə(r)/
1,2,1,1,My Family,5,mother,母亲；妈妈,/'mʌðə(r)/
1,2,1,1,My Family,6,sister,姐；妹,/'sɪstə(r)/
1,2,1,1,My Family,7,he,他,/hi:/
1,2,1,1,My Family,8,she,她,/ʃi:/
1,2,1,1,My Family,9,who,谁,/hu:/
1,2,1,2,Boys and Girls,1,boy,男孩,/bɔɪ/
1,2,1,2,Boys and Girls,2,classmate,同班同学,/'klɑ:smeɪt/, /'klæsmeɪt/
1,2,1,2,Boys and Girls,3,friend,朋友,/frend/
1,2,1,2,Boys and Girls,4,girl,女孩,/gɜ:(r)l/
1,2,1,2,Boys and Girls,5,man,男人,/mæn/
1,2,1,2,Boys and Girls,6,woman,女人,/'wʊmən/
1,2,1,2,Boys and Girls,7,her,她的,/hɜ:(r)/
1,2,1,2,Boys and Girls,8,his,他的,/hɪz/
1,2,1,2,Boys and Girls,9,look,看；瞧,/lʊk/
1,2,1,2,Boys and Girls,10,name,名字,/neɪm/
1,2,1,2,Boys and Girls,11,or,或者,/ɔ:(r)/
1,2,1,3,My Friends,1,big,大的,/bɪg/
1,2,1,3,My Friends,2,handsome,英俊的,/'hænsəm/
1,2,1,3,My Friends,3,pretty,美观的；精致的,/'prɪti/
1,2,1,3,My Friends,4,short,矮的；短的,/ʃɔ:(r)t/
1,2,1,3,My Friends,5,tall,高的,/tɔ:l/
1,2,1,3,My Friends,6,thin,瘦的,/θɪn/
1,2,1,3,My Friends,7,does,（助动词）,/dʌz/
1,2,1,3,My Friends,8,new,新的,/nju:/
1,2,1,4,In the Community,1,bookshop,书店,/'bʊk,ʃɒp/
1,2,1,4,In the Community,2,hospital,医院,/'hɒspɪtl/, /'hɑ:spɪtl/
1,2,1,4,In the Community,3,park,公园,/pɑ:(r)k/
1,2,1,4,In the Community,4,school,学校,/sku:l/
1,2,1,4,In the Community,5,supermarket,超市,/'su:pə(r),mɑ:(r)kət/
1,2,1,4,In the Community,6,zoo,动物园,/zu:/
1,2,1,4,In the Community,7,go,去,/gəʊ/
1,2,1,4,In the Community,8,to,向，朝,/tu:; tə/
1,2,1,5,In the Park,1,boat,小船,/bəʊt/
1,2,1,5,In the Park,2,flower,花；花朵,/'flaʊə(r)/
1,2,1,5,In the Park,3,grass,草坪,/grɑ:s/, /græs/
1,2,1,5,In the Park,4,hill,山丘；小山,/hɪl/
1,2,1,5,In the Park,5,lake,湖；湖泊,/leɪk/
1,2,1,5,In the Park,6,tree,树；树木；乔木,/tri:/
1,2,1,6,Happy Holidays,1,Christmas,圣诞节,/'krɪsməs/
1,2,1,6,Happy Holidays,2,Christmas tree,圣诞树
1,2,1,6,Happy Holidays,3,Father Christmas,圣诞老人
1,2,1,6,Happy Holidays,4,New Year,新年
1,2,1,6,Happy Holidays,5,card,贺卡；明信片,/kɑ:(r)d/
1,2,1,6,Happy Holidays,6,present,礼物,/'preznt/
1,2,1,6,Happy Holidays,7,for,表示接受某事物的人,/fɔ:(r); fə(r)/
1,2,1,6,Happy Holidays,8,happy,高兴的,/'hæpi/
1,2,1,6,Happy Holidays,9,here,这里；在这里,/hɪə(r)/, /hɪr/
1,2,1,6,Happy Holidays,10,merry,高兴的；愉快的,/'meri/
1,2,1,6,Happy Holidays,11,thank,谢谢；感谢,/θæŋk/
1,2,1,6,Happy Holidays,12,too,太；过于,/tu:/
1,2,2,1,Playtime,1,fly a kite,放风筝
1,2,2,1,Playtime,2,make a model plane,做飞机模型
1,2,2,1,Playtime,3,make a snowman,堆雪人
1,2,2,1,Playtime,4,play football,踢足球
1,2,2,1,Playtime,5,ride a bike,骑自行车
1,2,2,1,Playtime,6,swim,游泳,/swɪm/
1,2,2,1,Playtime,7,can't,不能，不会
1,2,2,2,Weather,1,cloudy,阴天的；多云的,/'klaʊdi/
1,2,2,2,Weather,2,rainy,阴雨的；多雨的,/'reɪni/
1,2,2,2,Weather,3,snowy,下雪（多）的,/'snəʊi/
1,2,2,2,Weather,4,sunny,阳光充足的,/'sʌni/
1,2,2,2,Weather,5,umbrella,伞；雨伞,/ʌm'brelə/
1,2,2,2,Weather,6,windy,多风的；风大的,/'wɪndi/
1,2,2,2,Weather,7,let's,让我们……
1,2,2,2,Weather,8,weather,天气,/'weðə(r)/
1,2,2,2,Weather,9,wow,哇；呀,/waʊ/
1,2,2,3,Seasons,1,autumn,秋天,/'ɔ:təm/
1,2,2,3,Seasons,2,cold,寒冷的；冷的,/kəʊld/
1,2,2,3,Seasons,3,cool,凉的；凉爽的,/ku:l/
1,2,2,3,Seasons,4,hot,热的；烫的,/hɒt/, /hɑ:t/
1,2,2,3,Seasons,5,spring,春天,/sprɪŋ/
1,2,2,3,Seasons,6,summer,夏天,/'sʌmə(r)/
1,2,2,3,Seasons,7,warm,温暖的；暖和的,/wɔ:(r)m/
1,2,2,3,Seasons,8,winter,冬天,/'wɪntə(r)/
1,2,2,3,Seasons,9,favourite,特别喜爱的,/'feɪvərət/
1,2,2,3,Seasons,10,season,季节,/'si:zn/
1,2,2,4,Time,1,eleven,十一,/ɪ'levən/
1,2,2,4,Time,2,fifteen,十五,/,fɪf'ti:n/
1,2,2,4,Time,3,fifty,五十,/'fɪfti/
1,2,2,4,Time,4,forty,四十,/'fɔ:(r)ti/
1,2,2,4,Time,5,fourteen,十四,/,fɔ:'ti:n/
1,2,2,4,Time,6,thirteen,十三,/,θɜ:(r)'ti:n/
1,2,2,4,Time,7,thirty,三十,/θɜ:(r)ti/
1,2,2,4,Time,8,twelve,十二,/twelv/
1,2,2,4,Time,9,twenty,二十,/'twenti/
1,2,2,4,Time,10,playtime,游戏时间，课件休息时间,/'pleɪtaɪm/
1,2,2,4,Time,11,time,时间,/taɪm/
1,2,2,5,My Day,1,eat breakfast,吃早饭
1,2,2,5,My Day,2,eat dinner,吃晚饭
1,2,2,5,My Day,3,eat lunch,吃午饭
1,2,2,5,My Day,4,get up,起床,/'get ʌp/
1,2,2,5,My Day,5,go home,回家
1,2,2,5,My Day,6,go to bed,上床睡觉
1,2,2,5,My Day,7,go to school,去上学
1,2,2,5,My Day,8,at,（后面接邮件地址）,/æt/
1,2,2,5,My Day,9,every day,每天
1,2,2,5,My Day,10,when,什么时候；何时,/wen/
1,2,2,6,My Week,1,Friday,星期五,/'fraɪdeɪ/
1,2,2,6,My Week,2,Monday,星期一,/'mʌndeɪ/
1,2,2,6,My Week,3,Saturday,星期六,/'sætə(r)deɪ/
1,2,2,6,My Week,4,Sunday,星期日,/'sʌndeɪ/
1,2,2,6,My Week,5,Thursday,星期四,/'θɜ:(r)zdeɪ/
1,2,2,6,My Week,6,Tuesday,星期二,/'tju:zdeɪ/, /'tu:zdeɪ/
1,2,2,6,My Week,7,Wednesday,星期三,/'wenzdeɪ/
1,2,2,6,My Week,8,today,今天,/tə'deɪ/
1,3,1,1,Myself,1,my,我的,/maɪ/
1,3,1,1,Myself,2,your,你（们）的,/jɔ:(r)/
1,3,1,1,Myself,3,name,名字,/neɪm/
1,3,1,1,Myself,4,new,新的,/nju:/
1,3,1,1,Myself,5,old,老的；年纪大的,/əʊld/
1,3,1,1,Myself,6,year,年,/jɪə/, /jɪr/
1,3,1,1,Myself,7,age,年龄,/eɪdʒ/
1,3,1,1,Myself,8,class,班；班级,/klɑ:s/, /klæs/
1,3,1,1,Myself,9,Dear,（用于信函抬头前）亲爱的,/dɪə(r)/
1,3,1,1,Myself,10,grade,年级,/greɪd/
1,3,1,1,Myself,11,how old,多大年龄
1,3,1,2,My Body,1,ear,耳朵,/ɪə/, /ɪr/
1,3,1,2,My Body,2,eye,眼睛,/aɪ/
1,3,1,2,My Body,3,face,脸,/feɪs/
1,3,1,2,My Body,4,mouth,嘴,/maʊθ/
1,3,1,2,My Body,5,nose,鼻子,/nəʊz/
1,3,1,2,My Body,6,arm,胳膊,/ɑ:(r)m/
1,3,1,2,My Body,7,body,身体,/'bɒdi/, /'bɑ:di/
1,3,1,2,My Body,8,feet,脚（复数）,/fi:t/
1,3,1,2,My Body,9,foot,脚,/fʊt/
1,3,1,2,My Body,10,hair,头发,/heə/, /her/
1,3,1,2,My Body,11,hand,手,/hænd/
1,3,1,2,My Body,12,head,头,/hed/
1,3,1,2,My Body,13,leg,腿,/leg/
1,3,1,2,My Body,14,afternoon,下午,/,ɑ:ftə'nu:n/, /,æftər'nu:n/
1,3,1,2,My Body,15,bad,邪恶的；坏的,/bæd/
1,3,1,2,My Body,16,bite,咬,/baɪt/
1,3,1,2,My Body,17,help,帮助,/help/
1,3,1,2,My Body,18,hurt,（使）受伤,/hɜ:(r)t/
1,3,1,2,My Body,19,kick,踢,/kɪk/
1,3,1,2,My Body,20,morning,早晨,/'mɔ:(r)nɪŋ/
1,3,1,2,My Body,21,summary,总结，摘要,/'sʌməri/
1,3,1,2,My Body,22,the matter,麻烦事，困难；毛病
1,3,1,2,My Body,23,tongue,舌头,/tʌŋ/
1,3,1,3,Food,1,chicken,鸡肉,/'tʃɪkɪn/
1,3,1,3,Food,2,egg,蛋,/eg/
1,3,1,3,Food,3,fish,鱼,/fɪʃ/
1,3,1,3,Food,4,noodles,面条,/'nu:dlz/
1,3,1,3,Food,5,rice,米饭,/raɪs/
1,3,1,3,Food,6,for,表示接受某事物的人,/fɔ:(r); fə(r)/
1,3,1,3,Food,7,bread,面包,/bred/
1,3,1,3,Food,8,cake,蛋糕,/keɪk/
1,3,1,3,Food,9,fruit,水果,/fru:t/
1,3,1,3,Food,10,ice-cream,冰淇淋,/,aɪs 'kri:m/
1,3,1,3,Food,11,meat,肉,/mi:t/
1,3,1,3,Food,12,potato,马铃薯；土豆,/pə'teɪtəʊ/
1,3,1,3,Food,13,tomato,西红柿,/tə'mɑ:təʊ/, /tə'meɪtəʊ/
1,3,1,3,Food,14,vegetables,蔬菜,/'vedʒtəblz/
1,3,1,3,Food,15,buy,买,/baɪ/
1,3,1,3,Food,16,cola,可乐,/'kəʊlə/
1,3,1,3,Food,17,shopping list,购物单
1,3,1,4,Pets,1,bird,鸟,/bɜ:(r)d/
1,3,1,4,Pets,2,cat,猫,/kæt/
1,3,1,4,Pets,3,dog,狗,/dɒg/, /dɔ:g/
1,3,1,4,Pets,4,monkey,猴子,/'mʌŋki/
1,3,1,4,Pets,5,tiger,老虎,/'taɪgə(r)/
1,3,1,4,Pets,6,chicken,鸡肉,/'tʃɪkɪn/
1,3,1,4,Pets,7,fish,鱼,/fɪʃ/
1,3,1,4,Pets,8,big,大的,/bɪg/
1,3,1,4,Pets,9,short,矮的；短的,/ʃɔ:(r)t/
1,3,1,4,Pets,10,duck,鸭子,/dʌk/
1,3,1,4,Pets,11,long,长的,/lɒŋ/, /lɔ:ŋ/
1,3,1,4,Pets,12,pet,宠物,/pet/
1,3,1,4,Pets,13,rabbit,兔子,/'ræbɪt/
1,3,1,4,Pets,14,small,小的,/smɔ:l/
1,3,1,4,Pets,15,snake,蛇,/sneɪk/
1,3,1,4,Pets,16,turtle,乌龟,/'tɜ:tl/
1,3,1,4,Pets,17,dance,跳舞,/dɑ:ns/, /dæns/
1,3,1,4,Pets,18,look for,寻找
1,3,1,4,Pets,19,tail,尾巴,/teɪl/
1,3,1,5,Clothes,1,T-shirt,T恤,/'ti: ʃɜ:(r)t/
1,3,1,5,Clothes,2,dress,连衣裙,/dres/
1,3,1,5,Clothes,3,shirt,（尤指男士）衬衫,/ʃɜ:(r)t/
1,3,1,5,Clothes,4,shorts,短裤,/ʃɔ:(r)ts/
1,3,1,5,Clothes,5,skirt,女裙,/skɜ:(r)t/
1,3,1,5,Clothes,6,socks,短袜（复数）,/sɒks/
1,3,1,5,Clothes,7,cap,帽子,/kæp/
1,3,1,5,Clothes,8,coat,外衣；大衣,/kəʊt/
1,3,1,5,Clothes,9,gloves,手套,/glʌvz/
1,3,1,5,Clothes,10,jacket,夹克衫,/'dʒækɪt/
1,3,1,5,Clothes,11,shoes,鞋子（复数）,/'ʃu:z/
1,3,1,5,Clothes,12,sweater,毛衣,/'swetə(r)/
1,3,1,5,Clothes,13,trousers,裤子；长裤,/'traʊzə(r)z/
1,3,1,5,Clothes,14,look forward to,盼望，期待
1,3,1,5,Clothes,15,should,（常用于纠正别人）应该，应当,/ʃʊd; ʃəd/
1,3,1,5,Clothes,16,soon,不久，很快,/su:n/
1,3,1,5,Clothes,17,wear,戴,/weə/, /wer/
1,3,1,5,Clothes,18,week,周,/wi:k/
1,3,1,6,Birthdays,1,April,四月,/'eɪprəl/
1,3,1,6,Birthdays,2,August,八月,/'ɔ:gəst/
1,3,1,6,Birthdays,3,December,十二月,/dɪ'sembə(r)/
1,3,1,6,Birthdays,4,February,二月,/'februəri/, /'febjueri/
1,3,1,6,Birthdays,5,January,一月,/'dʒænjuəri/, /'dʒænjueri/
1,3,1,6,Birthdays,6,July,七月,/dʒu'laɪ/
1,3,1,6,Birthdays,7,June,六月,/dʒu:n/
1,3,1,6,Birthdays,8,March,三月,/mɑ:(r)tʃ/
1,3,1,6,Birthdays,9,May,五月,/meɪ/
1,3,1,6,Birthdays,10,November,十一月,/nəʊ'vembə(r)/
1,3,1,6,Birthdays,11,October,十月,/ɒk'təʊbə/, /ɑ:k'təʊbər/
1,3,1,6,Birthdays,12,September,九月,/sep'tembə(r)/
1,3,1,6,Birthdays,13,birthday,生日,/'bɜ:(r)θdeɪ/
1,3,1,6,Birthdays,14,delicious,美味的；可口的,/dɪ'lɪʃəs/
1,3,1,6,Birthdays,15,first,（1st）第一的,/fɜ:(r)st/
1,3,1,6,Birthdays,16,party,聚会；派对,/'pɑ:(r)ti/
1,3,2,1,School Subjects,1,Chinese,中文,/tʃaɪ'ni:z/
1,3,2,1,School Subjects,2,English,英语,/'ɪŋglɪʃ/
1,3,2,1,School Subjects,3,PE,体育,/,pi: 'i:/
1,3,2,1,School Subjects,4,science,科学,/'saɪəns/
1,3,2,1,School Subjects,5,art,美术,/ɑ:(r)t/
1,3,2,1,School Subjects,6,computer class,计算机课
1,3,2,1,School Subjects,7,maths,数学,/mæθs/
1,3,2,1,School Subjects,8,music,音乐,/'mju:zɪk/
1,3,2,1,School Subjects,9,that,那；那个,/ðæt/
1,3,2,1,School Subjects,10,we,我们,/wi:/
1,3,2,2,My School,1,blackboard,黑板,/'blækbɔ:(r)d/
1,3,2,2,My School,2,chair,椅子,/tʃeə(r)/, /tʃer/
1,3,2,2,My School,3,desk,书桌,/desk/
1,3,2,2,My School,4,first,（1st）第一的,/fɜ:(r)st/
1,3,2,2,My School,5,classroom,教室,/'klɑ:sru:m/, /'klæsru:m/
1,3,2,2,My School,6,floor,地板,/flɔ:(r)/
1,3,2,2,My School,7,library,图书馆,/'laɪbrəri/, /'laɪbreri/
1,3,2,2,My School,8,playground,操场,/'pleɪ,graʊnd/
1,3,2,2,My School,9,second,（2nd）第二的,/'sekənd/
1,3,2,2,My School,10,third,（3rd）第三的,/θɜ:(r)d/
1,3,2,2,My School,11,toilet,厕所，洗手间,/'tɔɪlət/
1,3,2,2,My School,12,our,我们的,/ɑ:(r), 'aʊə(r)/
1,3,2,2,My School,13,room,房间,/ru:m/
1,3,2,2,My School,14,they,他们,/ðeɪ/
1,3,2,3,After School Activities,1,fly a kite,放风筝
1,3,2,3,After School Activities,2,make a model plane,做飞机模型
1,3,2,3,After School Activities,3,make a snowman,堆雪人
1,3,2,3,After School Activities,4,play football,踢足球
1,3,2,3,After School Activities,5,ride a bike,骑自行车
1,3,2,3,After School Activities,6,swim,游泳,/swɪm/
1,3,2,3,After School Activities,7,dance,跳舞,/dɑ:ns/, /dæns/
1,3,2,3,After School Activities,8,after school,放学后
1,3,2,3,After School Activities,9,draw pictures,画画
1,3,2,3,After School Activities,10,play chess,下棋
1,3,2,3,After School Activities,11,play sports,做体育运动
1,3,2,3,After School Activities,12,read books,看书
1,3,2,3,After School Activities,13,sing songs,唱歌
1,3,2,3,After School Activities,14,be back,回来
1,3,2,3,After School Activities,15,really,（表示兴趣或惊讶）真的,/'ri:əli/
1,3,2,3,After School Activities,16,tomorrow,明天,/tə'mɒrəʊ/, /tə'mɑ:rəʊ/
1,3,2,3,After School Activities,17,wake up,叫醒
1,3,2,4,My Family,1,brother,兄；弟,/'brʌðə(r)/
1,3,2,4,My Family,2,father,父亲；爸爸,/'fɑ:ðə(r)/
1,3,2,4,My Family,3,grandfather,（外）祖父,/'grænfɑ:ðə(r)/
1,3,2,4,My Family,4,grandmother,（外）祖母,/'grænmʌðə(r)/
1,3,2,4,My Family,5,mother,母亲；妈妈,/'mʌðə(r)/
1,3,2,4,My Family,6,sister,姐；妹,/'sɪstə(r)/
1,3,2,4,My Family,7,handsome,英俊的,/'hænsəm/
1,3,2,4,My Family,8,aunt,姑母；姨母,/ɑ:nt/, /ænt/
1,3,2,4,My Family,9,beautiful,美丽的,/'bju:tɪfl/
1,3,2,4,My Family,10,cousin,同辈表亲（或堂亲）,/'kʌzn/
1,3,2,4,My Family,11,family,家；家庭,/'fæməli/
1,3,2,4,My Family,12,uncle,舅父；叔父；伯父；姑父；姨夫,/'ʌŋkl/
1,3,2,4,My Family,13,OK,好；行,/əʊ'keɪ/
1,3,2,4,My Family,14,know,知道；了解,/nəʊ/
1,3,2,4,My Family,15,lost,丢失（的过去式）,/lɒst/, /lɑ:st/
1,3,2,4,My Family,16,much,很多地；非常,/mʌtʃ/
1,3,2,4,My Family,17,water bottle,水瓶
1,3,2,4,My Family,18,welcome,欢迎,/'welkəm/
1,3,2,5,Family Activities,1,cleaning the room,正在打扫房间
1,3,2,5,Family Activities,2,cooking dinner,正在做饭
1,3,2,5,Family Activities,3,feeding the fish,正在喂鱼
1,3,2,5,Family Activities,4,listening to music,（正在）听音乐
1,3,2,5,Family Activities,5,walking the dog,正在遛狗
1,3,2,5,Family Activities,6,watching TV,正在看电视
1,3,2,5,Family Activities,7,watering the plants,正在给植物浇水
1,3,2,5,Family Activities,8,children,儿童（的复数）,/'tʃɪldrən/
1,3,2,5,Family Activities,9,everyone,每人,/'evriwʌn/
1,3,2,5,Family Activities,10,in one hour,一小时之后
1,3,2,5,Family Activities,11,play with,与……玩耍
1,3,2,5,Family Activities,12,run,跑；奔跑,/rʌn/
1,3,2,6,My home,1,bed,床,/bed/
1,3,2,6,My home,2,box,盒；箱,/bɒks/, /bɑ:ks/
1,3,2,6,My home,3,door,门,/dɔ:(r)/
1,3,2,6,My home,4,light,电灯,/laɪt/
1,3,2,6,My home,5,bathroom,浴室；洗手间,/'bɑ:θru:m/, /'bæθru:m/
1,3,2,6,My home,6,bedroom,卧室,/'bedru:m/
1,3,2,6,My home,7,dining room,餐厅
1,3,2,6,My home,8,home,家,/həʊm/
1,3,2,6,My home,9,kitchen,厨房,/'kɪtʃɪn/
1,3,2,6,My home,10,living room,客厅；起居室,/'lɪvɪŋ/
1,3,2,6,My home,11,study,书房,/'stʌdi/
1,3,2,6,My home,12,for rent,供出租
1,3,2,6,My home,13,sofa,长沙发,/'səʊfə/
1,4,1,1,Sports and Games,1,father,父亲；爸爸,/'fɑ:ðə(r)/
1,4,1,1,Sports and Games,2,friend,朋友,/frend/
1,4,1,1,Sports and Games,3,swim,游泳,/swɪm/
1,4,1,1,Sports and Games,4,get up,起床,/'get ʌp/
1,4,1,1,Sports and Games,5,What about...?,……怎么样？,
1,4,1,1,Sports and Games,6,basketball,篮球,/'bɑ:skɪtbɔ:l/, /'bæskɪbɔ:l/
1,4,1,1,Sports and Games,7,be good at,擅长,
1,4,1,1,Sports and Games,8,interesting,有趣的,/'ɪntrəstɪŋ/
1,4,1,1,Sports and Games,9,jumping rope,跳绳,
1,4,1,1,Sports and Games,10,often,时常；常常,/'ɒfn/, /'ɔ:fn/
1,4,1,1,Sports and Games,11,ping-pong,乒乓球,/'pɪŋ pɒŋ/
1,4,1,1,Sports and Games,12,roller skating,滑旱冰,
1,4,1,1,Sports and Games,13,running,跑步,/'rʌnɪŋ/
1,4,1,1,Sports and Games,14,late,晚；迟,/leɪt/
1,4,1,2,On the Weekend,1,near,距离近,/nɪə/, /nɪr/
1,4,1,2,On the Weekend,2,Saturday,星期六,/'sætə(r)deɪ/
1,4,1,2,On the Weekend,3,climb a hill,爬山,
1,4,1,2,On the Weekend,4,day,一天；一日,/deɪ/
1,4,1,2,On the Weekend,5,fun,有趣的,/fʌn/
1,4,1,2,On the Weekend,6,go fishing,去钓鱼,
1,4,1,2,On the Weekend,7,go to a drawing club,去绘画俱乐部,
1,4,1,2,On the Weekend,8,go to the cinema,看电影,
1,4,1,2,On the Weekend,9,on the weekend,在周末,
1,4,1,2,On the Weekend,10,pick fruit,采摘水果,
1,4,1,2,On the Weekend,11,play computer games,玩电脑游戏,
1,4,1,2,On the Weekend,12,visit one's grandparents,看望（外）祖父母,
1,4,1,2,On the Weekend,13,always,总是；一直,/'ɔ:lweɪz/
1,4,1,2,On the Weekend,14,dirty,肮脏的,/'dɜ:(r)ti/
1,4,1,2,On the Weekend,15,evening,晚上；傍晚,/'i:vnɪŋ/
1,4,1,2,On the Weekend,16,hope,希望,/həʊp/
1,4,1,2,On the Weekend,17,house,房屋；房子；住宅,/haʊs/
1,4,1,2,On the Weekend,18,paint,用颜料绘画,/peɪnt/
